code_insee,nom_commune,code_dept,population,superficie_km2,densite,nb_associations_pour_mille,taux_chomage_2016,taux_chomage_2021,delta_taux_chomage,pct_sans_diplome_2016,pct_sans_diplome_2021,delta_pct_sans_diplome,pct_diplome_sup_2016,pct_diplome_sup_2021,delta_pct_diplome_sup,revenu_median_2016,revenu_median_2021,delta_revenu_median,taux_criminalite_2016,taux_criminalite_2021,delta_taux_criminalite,nb_entreprises_pour_mille_2016,nb_entreprises_pour_mille_2021,delta_nb_entreprises_pour_mille,score_ext_gauche_2017,score_ext_gauche_2022,score_gauche_2017,score_gauche_2022,score_centre_2017,score_centre_2022,score_droite_2017,score_droite_2022,score_ext_droite_2017,score_ext_droite_2022,gagnant_2017,gagnant_2022
22001,Allineuc,22,588.0,24.0,25.1,33.557046979865774,7.456824368416057,7.117356910382696,-0.33946745803336054,30.90914247786865,23.939989251927123,-6.969153225941525,18.21221176560287,22.595826281359336,4.3836145157564665,19870.0,21360.0,1490.0,0.0,0.0,0.0,42.517006802721085,55.369127516778526,12.852120714057442,2.84,2.19,22.380000000000003,23.500000000000004,22.95,26.23,23.8,10.66,28.04,37.44,ext_droite,ext_droite
22002,Andel,22,1114.0,12.0,92.1,17.301038062283737,6.445809564211469,6.427328030454768,-0.018481533756701474,24.82597493426554,19.27253986350366,-5.5534350707618785,26.017072558030563,28.97041870336025,2.953346145329686,20962.0,24680.0,3718.0,0.0,0.0,0.0,33.21364452423698,44.11764705882353,10.904002534586546,2.43,0.8,24.63,27.69,33.78,39.15,18.3,4.79,20.86,27.57,centre,centre
22003,Aucaleuc,22,974.0,6.0,147.8,21.528525296017225,9.403422671936363,8.399249975732785,-1.0041726962035789,23.10004223497531,21.681744067232067,-1.4182981677432416,21.23452294613485,21.50229477826043,0.2677718321255824,20448.0,22150.0,1702.0,0.0,0.0,0.0,29.7741273100616,43.05705059203445,13.282923281972849,3.92,2.41,32.38,35.230000000000004,24.73,20.45,9.07,1.37,29.89,40.55,gauche,ext_droite
22004,Bégard,22,4774.0,36.0,132.1,23.97189501963216,13.742703764510235,11.283908615214946,-2.4587951492952893,35.57905280180644,31.39578907970518,-4.183263722101259,19.03357420772092,21.876990296335027,2.8434160886141058,19393.0,21490.0,2097.0,18.223711772098863,18.185575532134735,-0.03813623996412829,51.73858399664851,58.68981194461666,6.95122794796815,3.45,2.76,34.78,32.23,24.21,24.56,11.42,3.87,26.14,36.6,gauche,ext_droite
22005,Belle-Isle-en-Terre,22,1034.0,14.0,73.1,33.980582524271846,16.389548693586697,10.289099977864462,-6.100448715722235,36.4749082007344,27.95628338426895,-8.518624816465447,17.38066095471236,26.41444308086496,9.033782126152598,17480.0,19250.0,1770.0,0.0,0.0,0.0,62.86266924564797,73.7864077669903,10.923738521342322,3.1100000000000003,2.78,35.62,34.64,22.88,25.98,14.22,2.29,24.18,34.31,gauche,gauche
22006,Berhet,22,253.0,3.0,79.6,32.96703296703297,5.50458715596332,10.135755080608051,4.631167924644731,19.879518072289155,17.281282803539366,-2.5982352687497894,24.69879518072289,25.011476956146797,0.31268177542390774,17269.0,18220.0,951.0,0.0,0.0,0.0,55.33596837944664,36.63003663003664,-18.70593174941,2.29,4.44,35.12,30.36,24.43,25.19,9.16,0.74,29.0,39.24999999999999,gauche,ext_droite
22008,Bobital,22,1097.0,5.0,220.4,20.19315188762072,6.435719786474023,8.290262116966744,1.8545423304927207,23.89582464510512,19.159695798669908,-4.736128846435211,24.48269218396515,28.959352248568702,4.4766600646035535,21353.0,23480.0,2127.0,5.469462169553328,0.0,-5.469462169553328,39.19781221513218,51.79982440737489,12.60201219224271,1.71,1.01,30.71,27.54,26.64,28.79,15.22,3.75,25.73,38.92,gauche,ext_droite
22009,Le Bodéo,22,162.0,10.0,16.2,23.52941176470588,9.67741935483871,8.860759493670885,-0.8166598611678246,35.65891472868217,29.496402877697847,-6.162511850984323,15.503875968992247,20.86330935251801,5.3594333835257615,18354.0,19920.0,1566.0,0.0,0.0,0.0,30.8641975308642,41.1764705882353,10.312273057371097,5.6,3.92,29.91,22.55,26.17,25.49,13.08,4.9,25.23,43.13,gauche,ext_droite
22011,Boqueho,22,1081.0,28.0,39.7,17.992424242424242,9.096487222532362,9.439034155067423,0.3425469325350612,24.041287237630357,18.339303975763404,-5.701983261866953,25.35138645789417,27.830697504373493,2.4793110464793244,19467.0,21780.0,2313.0,0.0,0.0,0.0,39.77798334875116,42.61363636363636,2.835653014885203,2.31,1.62,31.75,34.69,24.5,27.52,12.48,3.58,28.98,32.580000000000005,gauche,gauche
22012,La Bouillie,22,857.0,11.0,78.8,18.4971098265896,8.443271767810042,7.986131234398484,-0.45714053341155836,28.706624605678236,23.023499292526555,-5.683125313151681,16.7192429022082,21.810743116320268,5.091500214112067,19878.0,21740.0,1862.0,0.0,0.0,0.0,45.5075845974329,55.49132947976879,9.983744882335884,1.97,0.76,20.21,17.18,33.27,35.31,17.53,4.96,27.01,41.81,centre,ext_droite
22013,Bourbriac,22,2335.0,73.0,31.6,28.692380056444023,12.003292178793416,10.534676470230284,-1.4686157085631315,36.43639889198411,30.48795152934918,-5.9484473626349335,16.731160206910697,19.964860597140284,3.233700390229586,18693.0,20930.0,2237.0,6.852248394004282,0.0,-6.852248394004282,53.53319057815846,58.32549388523048,4.792303307072018,3.82,2.38,28.97,32.34,29.26,25.73,13.82,2.84,24.12,36.71,centre,ext_droite
22014,Bourseul,22,1134.0,22.0,51.3,22.988505747126435,7.643948238259947,7.690764396903646,0.04681615864369881,32.274736330205336,24.743929183531375,-7.530807146673961,16.541745816693208,21.182485308473773,4.640739491780565,19751.0,20720.0,969.0,0.0,5.747126436781609,5.747126436781609,45.85537918871252,46.79802955665024,0.9426503679377234,2.83,2.44,25.75,24.75,26.34,28.78,16.82,3.88,28.28,40.14000000000001,ext_droite,ext_droite
22015,Bréhand,22,1624.0,26.0,66.0,26.36203866432337,6.763285024154587,6.760776276938274,-0.002508747216313445,24.71169686985173,24.68709549659496,-0.024601373256768255,20.75782537067545,20.77536625311992,0.017540882444468053,20612.0,22440.0,1828.0,4.310344827586206,4.100761570005858,-0.20958325758034846,43.10344827586207,54.481546572934974,11.378098297072903,1.64,1.38,21.82,23.42,30.07,32.31,19.2,7.31,27.24,35.57,centre,ext_droite
22016,Ile-de-Bréhat,22,364.0,3.0,116.8,101.99004975124376,14.864864864864863,9.91528744973903,-4.949577415125834,29.354838709677416,20.40536045782101,-8.949478251856405,30.0,45.796495093678445,15.796495093678445,23158.0,25630.0,2472.0,16.483516483516485,0.0,-16.483516483516485,195.05494505494505,221.39303482587064,26.338089770925592,3.99,2.34,22.34,23.89,26.6,46.6,36.17,7.73,10.91,19.44,droite,centre
22018,Brélidy,22,299.0,8.0,36.5,36.18421052631579,13.497906741735266,13.709400006724874,0.21149326498960797,29.667873930800653,29.943449460452733,0.2755755296520803,21.592047468598278,21.55833448084203,-0.03371298775624609,19491.0,20430.0,939.0,0.0,0.0,0.0,40.13377926421405,49.3421052631579,9.208325998943849,2.55,4.35,35.21,30.93,26.02,27.05,6.63,3.86,29.59,33.83,gauche,ext_droite
22019,Bringolo,22,463.0,9.0,50.1,17.892644135188867,10.822510822510822,6.433358831353464,-4.389151991157357,24.848484848484848,16.608211690160918,-8.24027315832393,30.909090909090907,33.68145539644882,2.772364487357912,20506.0,22060.0,1554.0,0.0,0.0,0.0,28.077753779697623,39.761431411530815,11.683677631833191,2.84,4.01,22.69,33.57,23.76,31.39,15.96,4.01,34.74,26.99,ext_droite,gauche
22020,Broons,22,2892.0,36.0,82.0,24.623803009575923,9.714996033286546,8.264099119227236,-1.4508969140593102,41.36024659478575,35.62687474867349,-5.733371846112263,16.691710337612182,18.44539262684703,1.753682289234849,19594.0,21680.0,2086.0,7.607192254495159,20.51983584131327,12.912643586818112,60.511756569847854,71.13543091655266,10.62367434670481,1.82,1.83,20.78,17.82,25.19,36.44,23.72,6.06,28.49,37.84,ext_droite,ext_droite
22021,Brusvily,22,1191.0,12.0,101.1,19.861830742659755,11.64352969065686,6.951625759605973,-4.691903931050888,25.952139164753238,22.794798220690478,-3.15734094406276,19.09661835472957,20.05431340388056,0.9576950491509884,19161.0,21560.0,2399.0,0.0,0.0,0.0,37.783375314861466,50.08635578583765,12.30298047097618,2.41,2.1,30.35,28.65,21.28,24.3,9.65,2.39,36.32,42.55,ext_droite,ext_droite
22023,Bulat-Pestivien,22,430.0,32.0,13.8,72.81553398058252,9.313043525266869,5.996736496225585,-3.3163070290412833,30.92861248328742,21.696341902681127,-9.232270580606293,23.12765602618313,31.78639004837853,8.6587340221954,17144.0,19930.0,2786.0,0.0,0.0,0.0,48.83720930232558,63.10679611650485,14.26958681417927,2.96,3.23,33.7,36.84,24.81,23.89,15.93,2.43,22.58,33.599999999999994,gauche,gauche
22024,Calanhel,22,211.0,15.0,15.2,57.26872246696036,13.333333333333302,13.273099622843334,-0.06023371048996751,31.63841807909604,31.535556106701325,-0.10286197239471662,16.949152542372882,16.97088986497965,0.02173732260676786,15708.0,16550.0,842.0,0.0,0.0,0.0,42.65402843601896,61.67400881057269,19.019980374553725,4.9,0.71,32.17,32.629999999999995,18.88,22.7,25.17,7.8,18.89,36.17,gauche,ext_droite
22025,Callac,22,2210.0,33.0,67.0,29.082774049217,17.60242792109261,17.59824731933551,-0.004180601757099112,44.28816196870247,44.44195537279988,0.1537934040974136,13.03050403182996,13.01721536320054,-0.013288668629419575,18004.0,18920.0,916.0,7.6923076923076925,32.214765100671144,24.52245740836345,76.47058823529413,78.74720357941835,2.276615344124224,2.0,1.83,32.05,31.53,26.86,25.96,16.79,4.74,22.31,35.94,gauche,ext_droite
22026,Calorguen,22,721.0,9.0,85.8,24.69135802469136,13.738019169329077,6.854354842531585,-6.883664326797492,23.046875,18.843661591599982,-4.203213408400018,20.703125,27.24142626669452,6.538301266694521,19174.0,21510.0,2336.0,0.0,0.0,0.0,48.543689320388346,48.01097393689986,-0.5327153834884868,1.81,1.75,33.78,34.49,22.3,26.2,16.89,3.06,25.23,34.49999999999999,gauche,ext_droite
22027,Le Cambout,22,442.0,18.0,24.1,26.63538141382717,7.891837958913745,7.471752368486747,-0.42008559042699734,46.155434576674,37.86375586261381,-8.29167871406019,10.595626070380536,16.337780512881054,5.742154442500517,18616.0,19380.0,764.0,0.0,0.0,0.0,48.51933629899016,58.8235294117647,10.304193112774541,1.03,1.85,16.15,16.29,20.27,35.56,26.12,10.0,36.42999999999999,36.29,ext_droite,ext_droite
22028,Camlez,22,911.0,12.0,76.2,21.686746987951807,12.22324120127726,10.209767633086363,-2.0134735681908964,24.50046796011998,21.350697673637114,-3.149770286482866,24.61028545887804,26.85292150059461,2.2426360417165725,19715.0,22060.0,2345.0,0.0,0.0,0.0,45.00548847420417,61.44578313253013,16.44029465832596,3.0,1.73,30.72,31.09,26.22,28.21,16.29,5.18,23.790000000000006,33.78,gauche,ext_droite
22029,Canihuel,22,360.0,32.0,11.0,31.70028818443804,12.101910828025463,10.108712845837806,-1.9931979821876578,35.35714285714286,26.71768291722155,-8.639459939921313,20.0,25.03874307104198,5.038743071041981,18351.0,19680.0,1329.0,0.0,0.0,0.0,55.55555555555555,89.33717579250721,33.78162023695166,1.65,0.44,21.49,25.76,33.88,28.82,22.73,6.11,20.25,38.86000000000001,centre,ext_droite
22030,Caouënnec-Lanvézéac,22,868.0,7.0,123.5,12.154696132596683,8.168316831683184,8.154550474333492,-0.01376635734969156,22.510531166686253,22.389787288449384,-0.12074387823686905,26.84801098581617,26.921299404339976,0.07328841852380563,20500.0,22670.0,2170.0,0.0,0.0,0.0,29.95391705069124,54.14364640883978,24.18972935814854,5.140000000000001,1.86,35.05,34.46,26.42,24.21,11.74,3.35,21.64,36.13,gauche,ext_droite
22031,Carnoët,22,672.0,42.0,15.7,30.395136778115504,15.272727272727272,15.284045474866566,0.011318202139294797,30.58161350844278,30.53612727864934,-0.04548622979343975,22.70168855534709,22.7367651061317,0.03507655078460914,17321.0,17390.0,69.0,0.0,0.0,0.0,68.45238095238096,75.98784194528875,7.535460992907787,2.96,0.55,34.62,34.7,24.6,26.78,15.26,4.64,22.56,33.33,gauche,gauche
22032,Caulnes,22,2474.0,33.0,79.3,23.56230031948882,9.523854593807831,10.241623578053618,0.7177689842457866,35.36800570042542,26.432021892901403,-8.935983807524018,18.300390237869752,23.205206846802945,4.904816608933192,20104.0,21460.0,1356.0,8.488278092158447,7.587859424920127,-0.9004186672383199,52.54648342764753,66.29392971246007,13.74744628481254,2.53,2.42,25.3,23.0,23.43,31.01,20.69,5.04,28.03,38.53,ext_droite,ext_droite
22033,Caurel,22,362.0,13.0,30.9,30.81232492997199,12.101442633912724,8.603206208169176,-3.4982364257435474,35.60539045607281,28.837837817263303,-6.767552638809509,18.63151549491972,26.503994925474743,7.872479430555021,19130.0,20360.0,1230.0,0.0,0.0,0.0,63.53591160220995,75.63025210084034,12.094340498630388,1.71,0.86,23.4,28.51,27.66,25.11,18.3,3.83,28.93,41.7,ext_droite,ext_droite
22034,Cavan,22,1530.0,17.0,95.4,33.37696335078534,10.47280570450313,6.741422610063344,-3.7313830944397868,23.730002083176675,19.36072896840245,-4.369273114774224,29.42465927725499,32.6517250309141,3.2270657536591116,20388.0,22400.0,2012.0,0.0,0.0,0.0,68.62745098039217,74.60732984293193,5.979878862539763,3.32,1.75,37.22,38.27,29.63,32.0,9.63,1.54,20.23,26.44,gauche,gauche
22035,Les Champs-Géraux,22,1043.0,20.0,54.3,25.787965616045845,11.928429423459244,7.301634102981707,-4.626795320477537,28.589580686149933,21.476393605127917,-7.113187081022016,19.3138500635324,25.45669273812185,6.142842674589449,20303.0,21530.0,1227.0,0.0,0.0,0.0,40.26845637583892,46.80038204393505,6.531925668096129,2.55,2.2,34.68,29.450000000000003,22.82,23.78,11.86,3.94,28.070000000000004,40.63,gauche,ext_droite
22036,La Chapelle-Blanche,22,203.0,8.0,26.0,23.696682464454973,8.0,4.065040650406504,-3.9349593495934956,23.021582733812952,12.34567901234568,-10.675903721467272,23.7410071942446,38.2716049382716,14.530597744027002,20311.0,22990.0,2679.0,0.0,0.0,0.0,19.704433497536947,37.91469194312796,18.210258445591016,4.28,2.89,27.85,26.08,15.71,23.91,20.0,7.25,32.15,39.86,ext_droite,ext_droite
